Absolver	75	6.5	8	6	Great	" Absolver puts players behind the mask of a Prospect, who has taken a sacred vow and chosen to join the Absolvers, an elite corps of combatants fighting to maintain stability ..."	 Role-Playing Action RPG 	NOT PROVIDED	Devolver Digital	7.6	7.4	http://www.ign.com/wikis/create?objectid=20054154	https://www.gamespot.com/absolver/	"Aug. 29, 2017"	PC PS4 LNX MAC
ABZU	78	7.7	9	6.9	Superb	" ABZÛ is an epic descent into the depths of the sea, where players will explore beautifully rendered ocean environments with fluid swimming controls."	 Fantasy Action Adventure Adventure General 3D Third-Person 	E	505 Games	8.4	9	http://www.ign.com/wikis/abzu	https://www.gamespot.com/abzu/	"Aug. 2, 2016"	PS4 PC XONE
Aion	76	6.6	6.5	7.3	Fair	 Aion is an MMOG from NCsoft in which divine beings battle for control of the skies and the earth.	 Role-Playing Massively Multiplayer Online Fantasy Fantasy Massively Multiplayer 	T	NCSOFT	8.5	8	http://www.ign.com/wikis/aion	https://www.gamespot.com/aion/	"Sep. 22, 2009"	PC
Alan Wake	83	8	8.5	8.4	Great	 Alan Wake is a psychological thriller set in the American Northwest.	 Action Adventure Modern Horror Horror Survival 	T	Remedy Entertainment	9	8.5	http://www.ign.com/wikis/alan-wake	https://www.gamespot.com/alan-wake/	"May. 18, 2010"	PC X360
Alan Wakes American Nightmare	76	7.8	7	7.5	Good	" Alan Wake';s American Nightmare, Remedy Entertainment';s stand-alone digital spin-off for Xbox LIVE Arcade, will include a relentlessly intense arcade mode called Fight till Dawn."	 Action Adventure Modern General Modern Linear 	T	Microsoft Game Studios	8	8.1	http://www.ign.com/wikis/alan-wakes-american-nightmare	https://www.gamespot.com/alan-wakes-american-nightmare/	"Feb. 22, 2012"	X360 PC
Alice Madness Returns	75	8.4	7	8.11	Good	" Alice: Madness Returns is the sequel to the year 2000 PC game, American McGee';s Alice."	 Action Adventure Adventure General Horror Horror Survival 	M	Electronic Arts	6.5	7.8	http://www.ign.com/wikis/alice-madness-returns	https://www.gamespot.com/alice-madness-returns/	"Jun. 14, 2011"	PC PS3 X360
Alien Isolation	79	8.2	6	8.7	Fair	 Alien Isolation sees you take on the role of Amanda Ripley as she faces off with Xenomorphs in the search for answers about her mother';s disappearance.	 Action Adventure Sci-Fi General Survival 	M	Sega	5.9	8.5	http://www.ign.com/wikis/alien-isolation	https://www.gamespot.com/alien-isolation/	"Oct. 6, 2014"	XONE PS4 PC PS3 X360 MAC LNX
Alienation	79	8	8	7.9	Great	" From Housemarque OY, the creators of RESOGUN, Super Stardust: Delta, Dead Nation™ and Super Stardust HD, and XDEV Studio Europe comes ALIENATION, a next generation top-down action game, developed exclusively ..."	 Sci-Fi Action Shooter Third-Person Arcade 	M	SCEA	8.7	8.6	http://www.ign.com/wikis/alienation	https://www.gamespot.com/alienation/	"Apr. 26, 2016"	PS4
Amnesia The Dark Descent	85	8.7	8.5	8.6	Great	" Amnesia: The Dark Descent is a first person survival horror game about immersion, discovery and living through a nightmare."	 Action Adventure Horror Horror Survival 	M	THQ Frictional Games	8.5	8.6	http://www.ign.com/wikis/amnesia-the-dark-descent	https://www.gamespot.com/amnesia-the-dark-descent/	"Sep. 8, 2010"	PC MAC LNX
And Yet It Moves	83	7.7	7.5	7.3	Good	 Guide your paper-crafted hero through a surreal two-dimensional world that can be rotated at will and where everything is relative.	 Action Platformer 2D Platformer 2D 	E	Broken Rules	8	8	http://www.ign.com/wikis/create?objectid=27178	https://www.gamespot.com/and-yet-it-moves/	"Apr. 2, 2009"	LNX PC WII MAC
