Name,Score,User Score,Wiki
" A Boy and His Blob Trouble on Blobolonia ",0,0,http://www.ign.com/wikis/a-boy-and-his-blob-trouble-on-blobolonia
" A Game of Dwarves ",0,0,http://www.ign.com/wikis/a-game-of-dwarves
" A Game of Thrones Genesis ",6,5.4,http://www.ign.com/wikis/create?objectid=81104
" A Virus Named Tom ",7,6.6,http://www.ign.com/wikis/a-virus-named-tom
" Absolver ",0,0,NOT PROVIDED
" Abzu ",8.4,9,http://www.ign.com/wikis/abzu
" Ace Combat 6 Fires of Liberation ",8.4,0,http://www.ign.com/wikis/ace-combat-6-fires-of-liberation
" Across Age ",0,7.8,http://www.ign.com/wikis/create?objectid=53353
" Action Replay Ultimate Codes Final Fantasy Crystal Chronicles ",0,0,http://www.ign.com/wikis/create?objectid=746247
" ActRaiser ",7.5,0,NOT PROVIDED
" Advance Wars ",9.9,0,http://www.ign.com/wikis/advance-wars
" Advance Wars 2 Black Hole Rising ",9,8.7,http://www.ign.com/wikis/advance-wars-2-black-hole-rising
" Advance Wars Dual Strike ",9,9,http://www.ign.com/wikis/advance-wars-dual-strike
" Adventure Island II ",0,0,http://www.ign.com/wikis/create?objectid=6023
" Adventure Time Hey Ice King Whyd You Steal Our Garbage ",8.5,8.4,http://www.ign.com/wikis/adventure-time-hey-ice-king
" Agatha Christie The ABC Murders ",0,6.6,http://www.ign.com/wikis/create?objectid=20043194
" Age of Conan Hyborian Adventures ",0,7.7,http://www.ign.com/wikis/age-of-conan-hyborian-adventures
" Age of Conan Hyborian Adventures Collectors Edition ",7.8,0,http://www.ign.com/wikis/create?objectid=958600
" Age of Empires ",0,0,http://www.ign.com/wikis/age-of-empires
" Age of Empires II The Age of Kings ",8.8,0,http://www.ign.com/wikis/age-of-empires-ii-the-age-of-kings
" Age of Empires II The Conquerors ",8.2,8.7,http://www.ign.com/wikis/age-of-empires-ii-the-conquerors
" Age of Empires Online ",7,7.3,http://www.ign.com/wikis/age-of-empires-online
" Age of Mythology The Titans ",8.9,8.7,http://www.ign.com/wikis/create?objectid=550226
" Agents of Mayhem ",7.1,6.9,http://www.ign.com/wikis/agents-of-mayhem
