Name,Score,User Score,Genre Keywords,Rating,Publisher
007 The World is Not Enough,81,7.7," Action Shooter First-Person Modern ",T,Electronic Arts
10 Second Ninja X,76,5.5," Action Platformer 2D ",T,Curve Digital
1000 Tiny Claws,76,0," Action General General ",E10+,Mediatonic
1001 Spikes,78,6.6," Action Platformer Platformer 2D 2D ",T,Nicalis
1701 AD,79,8.3," Strategy Real-Time Historic General Historic ",E10+,Aspyr
1979 Revolution Black Friday,80,7.8," Adventure General ",NOT PROVIDED,iNK Stories
2002 FIFA World Cup,80,8," Sports Traditional Soccer Sim Sim Team ",E,EA Sports
2010 FIFA World Cup South Africa,82,7.8," Sports Traditional Team Soccer Sim Sim ",E,EA Sports
2064 Read Only Memories,76,3.3," General Adventure Point-and-Click ",M,MidBoss
3D After Burner II,81,8," Action Shooter Scrolling Shoot-'Em-Up Vertical ",E10+,Sega
3D Classics Kid Icarus,77,7.3," Action Platformer 2D Platformer 2D ",E,Nintendo
3D Classics Kirbys Adventure,77,8," Action Platformer 2D Platformer 2D ",E,Nintendo
3D Dot Game Heroes,77,8," Role-Playing Action RPG Action RPG ",E10+,Atlus
3D Fantasy Zone II W,81,7,NOT PROVIDED,NOT PROVIDED,Sega
3D Gunstar Heroes,89,7.7," Action Shooter Shoot-'Em-Up Horizontal ",E10+,Sega
3D Out Run,87,8.4," Driving Racing Arcade Automobile ",E,Sega
3D Sonic the Hedgehog 2,87,8.9," Action Platformer 2D ",E,Sega
3D Streets of Rage II,89,7.3," Action Beat-'Em-Up 2D ",E10+,Sega
7th Dragon III Code VFD,76,8," General Role-Playing Japanese-Style ",T,Sega
80 Days 2015,84,6.9," Adventure Visual Novel ",NOT PROVIDED,inkle
A Boy and His Blob,80,8.6," Action Miscellaneous Platformer 2D Puzzle General Puzzle Platformer 2D ",E,Majesco Games Majesco
A Hat in Time,78,8.4," Action Platformer 3D ",E10+,Gears for Breakfast
A Kingdom for Keflings,78,7," Strategy Breeding/Constructing General Breeding/Constructing ",E,NinjaBee
A Pixel Story,74,0," Action Platformer 2D ",E10+,Rising Star Games
A Rose in the Twilight,75,7.7," Action Platformer 2D ",T,NIS America
A Space Shooter for 2 Bucks,81,6.3," Action General General ",T,Frima Studio
A World of Keflings,77,6.4," Action General Strategy Breeding/Constructing General Breeding/Constructing ",E10+,NinjaBee
AaaaaAAaaaAAAaaAAAAaAAAAA A Reckless Disregard for Gravity,81,7.2," Action Sports General Platformer 3D ",NOT PROVIDED,Dejobaan Games
Aaero,76,4.8," Action Shooter Rail ",E10+,Mad Fellows Ltd
Absolver,75,6.5," Role-Playing Action RPG ",NOT PROVIDED,Devolver Digital
ABZU,78,7.7," Fantasy Action Adventure Adventure General 3D Third-Person ",E,505 Games
ACA NeoGeo Metal Slug 3,76,7.6," Action Miscellaneous Shooter Compilation Shoot-'Em-Up Horizontal ",T,Hamster
Ace Attorney Investigations Miles Edgeworth,78,8.4," Adventure General General Visual Novel ",T,Capcom
Ace Combat 04 Shattered Skies,89,8.9," Simulation Flight Modern Jet ",E,Namco
Ace Combat 2,83,8.4," Simulation Flight Modern Jet ",T,Namco
Ace Combat 5 The Unsung War,84,9.1," Simulation Flight Modern Jet ",T,Namco
Ace Combat 6 Fires of Liberation,80,7.9," Action Simulation Flight Flight Combat ",T,Namco Bandai Games America Namco Bandai Games
Ace Combat Assault Horizon,77,6.8," Action Simulation Flight Flight Combat ",T,Namco Bandai Games
Ace Combat Assault Horizon Enhanced Edition,77,5.9," Action Simulation Flight Flight Combat ",T,Namco Bandai Games
Ace Combat X Skies of Deception,75,8.3," Simulation Flight Modern Jet Modern Jet Combat ",T,Namco Bandai Games America Namco Bandai Games
